No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2538,FAT,FAT Brands Inc.,Consumer Cyclical,Restaurants,USA,167.67M,-,11.75,-2.65%,42325
2539,FATE,"Fate Therapeutics, Inc.",Healthcare,Biotechnology,USA,6.81B,-,72.98,-3.34%,923451
2540,FAUG,FT Cboe Vest US Eq Buffer ETF - August,Financial,Exchange Traded Fund,USA,-,-,37.57,0.14%,68394
2541,FAX,"Aberdeen Asia-Pacific Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,1.06B,41.46,4.27,0.71%,835026
2542,FAZ,Direxion Daily Financial Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,22.75,1.34%,884730
2543,FB,"Facebook, Inc.",Communication Services,Internet Content & Information,USA,1037.36B,27.9,376.26,0.26%,7498211
2544,FBC,"Flagstar Bancorp, Inc.",Financial,Banks - Regional,USA,2.58B,4.05,49.6,-0.38%,931369
2545,FBCG,Fidelity Blue Chip Growth ETF,Financial,Exchange Traded Fund,USA,-,-,34.48,0.47%,81557
2546,FBCV,Fidelity Blue Chip Value ETF,Financial,Exchange Traded Fund,USA,-,-,29.36,-0.15%,19453
2547,FBHS,"Fortune Brands Home & Security, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,13.29B,19.08,98.14,-0.98%,572336
2548,FBIO,"Fortress Biotech, Inc.",Healthcare,Biotechnology,USA,324.78M,-,3.38,-2.31%,239890
2549,FBIZ,"First Business Financial Services, Inc.",Financial,Banks - Regional,USA,234.64M,8.51,28,1.16%,16643
2550,FBK,FB Financial Corporation,Financial,Banks - Regional,USA,1.94B,14.99,42.23,0.76%,152000
2551,FBMS,"The First Bancshares, Inc.",Financial,Banks - Regional,USA,808.22M,14.36,40.11,-1.01%,30815
2552,FBNC,First Bancorp,Financial,Banks - Regional,USA,1.14B,11.45,41.55,-0.67%,55547
2553,FBND,Fidelity Total Bond ETF,Financial,Exchange Traded Fund,USA,-,-,53.66,-0.13%,172702
2554,FBP,First BanCorp.,Financial,Banks - Regional,USA,2.56B,13.28,12.72,-0.55%,1121049
2555,FBRX,"Forte Biosciences, Inc.",Healthcare,Biotechnology,USA,69.07M,-,5.06,-82.30%,40383288
2556,FBT,First Trust NYSE Arca Biotechnology Index Fund,Financial,Exchange Traded Fund,USA,-,-,175.33,-0.40%,19164
2557,FBZ,First Trust Brazil AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,13.71,-2.20%,1884
2558,FC,Franklin Covey Co.,Industrials,Consulting Services,USA,567.83M,46.08,41.66,-0.29%,58581
2559,FCA,First Trust China AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,31.85,1.17%,1429
2560,FCAL,First Trust California Municipal High Income ETF,Financial,Exchange Traded Fund,USA,-,-,55.08,-0.07%,4023
2561,FCAP,"First Capital, Inc.",Financial,Banks - Regional,USA,144.03M,12.7,42.74,0.19%,10057
2562,FCAX,Fortress Capital Acquisition Corp.,Financial,Shell Companies,USA,483.54M,-,9.7,0.00%,6032
2563,FCBC,"First Community Bankshares, Inc.",Financial,Banks - Regional,USA,518.13M,11.45,30.97,-0.64%,19824
2564,FCCO,First Community Corporation,Financial,Banks - Regional,USA,155.02M,11.83,20.29,-0.20%,2264
2565,FCCY,1st Constitution Bancorp,Financial,Banks - Regional,USA,227.94M,10.88,22.26,-1.11%,3146
2566,FCEF,First Trust CEF Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,25.98,0.23%,754
2567,FCEL,"FuelCell Energy, Inc.",Industrials,Electrical Equipment & Parts,USA,1.92B,-,6.12,-4.67%,13936882
2568,FCF,First Commonwealth Financial Corporation,Financial,Banks - Regional,USA,1.24B,11.26,13.32,-0.75%,310984
2569,FCFS,"FirstCash, Inc.",Financial,Credit Services,USA,3.49B,32.96,88.06,0.89%,128404
2570,FCG,First Trust Natural Gas ETF,Financial,Exchange Traded Fund,USA,-,-,14.53,0.07%,2535410
2571,FCN,"FTI Consulting, Inc.",Industrials,Consulting Services,USA,4.81B,21.27,139,0.15%,196871
2572,FCNCA,"First Citizens BancShares, Inc.",Financial,Banks - Regional,USA,8.35B,15.53,888.99,-1.99%,34826
2573,FCNCP,"First Citizens BancShares, Inc.",Financial,Banks - Regional,USA,-,-,27.76,0.22%,5488
2574,FCO,"Aberdeen Global Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,75.66M,-,8.66,1.52%,43291
2575,FCOM,Fidelity MSCI Communication Services Index ETF,Financial,Exchange Traded Fund,USA,-,-,56.89,-0.11%,46411
2576,FCOR,Fidelity Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,56.13,-0.13%,16931
2577,FCPT,"Four Corners Property Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,2.17B,26.9,29,0.87%,362634
2578,FCRD,"First Eagle Alternative Capital BDC, Inc.",Financial,Asset Management,USA,140.88M,-,4.68,0.84%,12680
2579,FCT,First Trust Senior Floating Rate Income Fund II,Financial,Closed-End Fund - Debt,USA,323.49M,101.3,12.46,0.08%,78422
2580,FCTR,First Trust Lunt U.S. Factor Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,36.5,0.19%,152208
2581,FCUV,Focus Universal Inc.,Technology,Scientific & Technical Instruments,USA,746.72M,-,13.96,-22.05%,5695969
2582,FCVT,First Trust SSI Strategic Convertible Securities ETF,Financial,Exchange Traded Fund,USA,-,-,52.23,-0.06%,7797
2583,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,50.11B,18.9,36.14,-0.36%,12668525
2584,FDD,First Trust STOXX European Select Dividend Index Fund,Financial,Exchange Traded Fund,USA,-,-,14.84,-0.27%,43960
2585,FDEC,FT Cboe Vest US Eq Buffer ETF - December,Financial,Exchange Traded Fund,USA,-,-,33.78,0.00%,2713
2586,FDEM,Fidelity Emerging Markets Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,27.39,0.33%,895
2587,FDEU,First Trust Dynamic Europe Equity Income Fund,Financial,Asset Management,United Kingdom,234.70M,-,13.62,0.15%,21980
2588,FDEV,Fidelity International Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,30.74,0.39%,3248
2589,FDG,American Century Focused Dynamic Growth ETF,Financial,Exchange Traded Fund,USA,-,-,87.97,0.67%,7614
2590,FDHY,Fidelity High Yield Factor ETF,Financial,Exchange Traded Fund,USA,-,-,56.26,-0.09%,29223
2591,FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Financial,Exchange Traded Fund,USA,-,-,82.73,-0.05%,55399
2592,FDIV,First Trust Strategic Income ETF,Financial,Exchange Traded Fund,USA,-,-,50.74,-0.04%,20001
2593,FDL,First Trust Morningstar Dividend Leaders Index Fund,Financial,Exchange Traded Fund,USA,-,-,34.13,-0.18%,78926
2594,FDLO,Fidelity Low Volatility Factor ETF,Financial,Exchange Traded Fund,USA,-,-,50.21,0.02%,60752
2595,FDM,First Trust Dow Jones Select MicroCap Index Fund,Financial,Exchange Traded Fund,USA,-,-,60.81,-0.66%,3232
2596,FDMO,Fidelity Momentum Factor ETF,Financial,Exchange Traded Fund,USA,-,-,51.75,0.18%,7031
2597,FDMT,"4D Molecular Therapeutics, Inc.",Healthcare,Biotechnology,USA,852.77M,-,32.18,-0.25%,153950
2598,FDN,First Trust Dow Jones Internet Index Fund,Financial,Exchange Traded Fund,USA,-,-,251.98,0.67%,150569
2599,FDNI,First Trust Dow Jones International Internet ETF,Financial,Exchange Traded Fund,USA,-,-,43.99,-0.07%,8289
2600,FDP,Fresh Del Monte Produce Inc.,Consumer Defensive,Farm Products,Cayman Islands,1.49B,14.25,32.4,-0.55%,102050
2601,FDRR,Fidelity Dividend ETF for Rising Rates,Financial,Exchange Traded Fund,USA,-,-,43.46,-0.16%,26202
2602,FDS,FactSet Research Systems Inc.,Financial,Financial Data & Stock Exchanges,USA,14.48B,38.51,385.91,-0.26%,95128
2603,FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,64.8,1.20%,9715
2604,FDUS,Fidus Investment Corporation,Financial,Asset Management,USA,443.54M,6.36,18.15,1.51%,113375
2605,FDVV,Fidelity High Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,38.79,-0.13%,58330
2606,FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,USA,70.70B,14.44,266.04,-0.39%,1523356
2607,FE,FirstEnergy Corp.,Utilities,Utilities - Diversified,USA,21.53B,20.2,39.59,-0.83%,2976978
2608,FEDU,Four Seasons Education (Cayman) Inc.,Consumer Defensive,Education & Training Services,China,32.02M,-,0.69,-1.47%,77490
2609,FEI,First Trust MLP and Energy Income Fund,Financial,Closed-End Fund - Equity,USA,332.35M,-,7.32,-0.54%,130603
2610,FEIM,"Frequency Electronics, Inc.",Technology,Communication Equipment,USA,101.86M,159.42,11,0.92%,13463
2611,FELE,"Franklin Electric Co., Inc.",Industrials,Specialty Industrial Machinery,USA,3.86B,30.38,85.3,-0.57%,117150
2612,FEM,First Trust Emerging Markets AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,28.51,1.04%,32775
2613,FEMB,First Trust Emerging Markets Local Currency Bond ETF,Financial,Exchange Traded Fund,USA,-,-,34.31,0.04%,17702
2614,FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,45.47,0.36%,13348
2615,FEMY,Femasys Inc.,Healthcare,Medical Instruments & Supplies,USA,84.88M,-,7.33,-2.53%,19954
2616,FEN,First Trust Energy Income and Growth Fund,Financial,Asset Management,USA,267.96M,-,13.78,-0.22%,35329
2617,FENC,Fennec Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,201.99M,-,7.94,-1.37%,44010
2618,FENG,Phoenix New Media Limited,Communication Services,Internet Content & Information,China,91.03M,1.45,1.28,0.00%,79470
2619,FENY,Fidelity MSCI Energy Index ETF,Financial,Exchange Traded Fund,USA,-,-,13.37,-0.30%,412878
2620,FEO,First Trust/Aberdeen Emerging Opportunity Fund,Financial,Closed-End Fund - Equity,USA,74.03M,8.28,14.83,0.20%,8604
2621,FEP,First Trust Europe AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,44.86,-0.29%,20819
2622,FERG,Ferguson plc,Industrials,Industrial Distribution,United Kingdom,32.83B,-,147.29,-0.25%,12876
2623,FET,"Forum Energy Technologies, Inc.",Energy,Oil & Gas Equipment & Services,USA,108.02M,-,19.64,-1.11%,12168
2624,FEUZ,First Trust Eurozone AlphaDEX ETF,Financial,Exchange Traded Fund,USA,-,-,48.36,-0.88%,147
2625,FEX,First Trust Large Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,90.06,-0.06%,13245
2626,FEYE,"FireEye, Inc.",Technology,Software - Infrastructure,USA,4.40B,-,18.55,1.42%,1736758
2627,FEZ,SPDR EURO STOXX 50 ETF,Financial,Exchange Traded Fund,USA,-,-,48.27,-0.64%,1480664
2628,FF,FutureFuel Corp.,Basic Materials,Chemicals,USA,351.01M,50.8,8.23,0.86%,252916
2629,FFA,First Trust Enhanced Equity Income Fund,Financial,Closed-End Fund - Equity,USA,430.85M,8.61,21.56,1.46%,25574
2630,FFBC,First Financial Bancorp.,Financial,Banks - Regional,USA,2.17B,12.12,23.33,-0.26%,282245
2631,FFBW,"FFBW, Inc.",Financial,Banks - Regional,USA,82.23M,37.44,11.68,1.57%,725
2632,FFC,Flaherty & Crumrine Preferred Securities Income Fund Inc.,Financial,Closed-End Fund - Debt,USA,1.03B,14.36,22.97,-0.02%,55836
2633,FFEB,FT Cboe Vest US Eq Buffer ETF - February,Financial,Exchange Traded Fund,USA,-,-,37.4,0.04%,6181
2634,FFHG,FormulaFolios Hedged Growth ETF,Financial,Exchange Traded Fund,USA,-,-,36.53,-0.39%,3181
2635,FFHL,"Fuwei Films (Holdings) Co., Ltd.",Consumer Cyclical,Packaging & Containers,China,32.54M,5.75,10.33,2.94%,75695
2636,FFIC,Flushing Financial Corporation,Financial,Banks - Regional,USA,677.85M,12.39,22.55,-0.40%,47973
2637,FFIE,Faraday Future Intelligent Elec,Consumer Cyclical,Auto Manufacturers,USA,302.22M,-,10.84,10.16%,3967229
2638,FFIN,"First Financial Bankshares, Inc.",Financial,Banks - Regional,USA,6.49B,29.83,46.93,-0.45%,269789
2639,FFIV,"F5 Networks, Inc.",Technology,Software - Infrastructure,USA,12.21B,42.27,203.61,0.12%,453263
2640,FFNW,"First Financial Northwest, Inc.",Financial,Banks - Regional,USA,155.34M,14.2,16.3,0.74%,3722
2641,FFR,First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund,Financial,Exchange Traded Fund,USA,-,-,54.12,0.05%,1018
2642,FFSG,FormulaFolios Smart Growth ETF,Financial,Exchange Traded Fund,USA,-,-,37.21,0.01%,1785
2643,FFTG,FormulaFolios Tactical Growth ETF,Financial,Exchange Traded Fund,USA,-,-,30.88,0.86%,8564
2644,FFTI,FormulaFolios Tactical Income ETF,Financial,Exchange Traded Fund,USA,-,-,24.35,0.04%,11940
2645,FFTY,Innovator IBD 50 ETF,Financial,Exchange Traded Fund,USA,-,-,50.61,1.22%,42865
2646,FFWM,First Foundation Inc.,Financial,Banks - Regional,USA,1.04B,10.61,24,0.76%,148968
2647,FGB,First Trust Specialty Finance and Financial Opportunities Fund,Financial,Closed-End Fund - Equity,USA,58.69M,-,4.09,0.37%,31177
2648,FGBI,"First Guaranty Bancshares, Inc.",Financial,Banks - Regional,USA,187.95M,8.26,19.12,-0.02%,9722
2649,FGBIP,"First Guaranty Bancshares, Inc.",Financial,Banks - Regional,USA,-,-,27.25,0.02%,2606
2650,FGD,First Trust Dow Jones Global Select Dividend Index Fund,Financial,Exchange Traded Fund,USA,-,-,26.29,0.08%,67215
2651,FGEN,"FibroGen, Inc.",Healthcare,Biotechnology,USA,1.14B,-,12.4,-0.80%,932216
2652,FGF,"FG Financial Group, Inc.",Financial,Insurance - Diversified,USA,29.20M,-,5.5,0.00%,7310
2653,FGM,First Trust Germany AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,59.02,0.61%,705
2654,FGRO,Fidelity Growth Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,22.28,0.64%,29729
2655,FHB,"First Hawaiian, Inc.",Financial,Banks - Regional,USA,3.46B,13.12,27.32,-0.55%,383363
2656,FHI,"Federated Hermes, Inc.",Financial,Asset Management,USA,3.10B,10.38,32.6,-1.03%,334489
2657,FHLC,Fidelity MSCI Health Care Index ETF,Financial,Exchange Traded Fund,USA,-,-,68.46,-0.01%,80580
2658,FHN,First Horizon Corporation,Financial,Banks - Regional,USA,8.52B,6.89,15.88,-0.44%,2931284
2659,FHS,"First High-School Education Group Co., Ltd.",Consumer Defensive,Education & Training Services,China,120.29M,9.72,4.19,7.16%,228954
2660,FHTX,Foghorn Therapeutics Inc.,Healthcare,Biotechnology,USA,469.36M,-,13.68,0.29%,23331
2661,FI,Frank's International N.V.,Energy,Oil & Gas Equipment & Services,Netherlands,620.47M,-,2.91,-3.00%,534430
2662,FIBK,"First Interstate BancSystem, Inc.",Financial,Banks - Regional,USA,2.58B,14.16,42.95,-0.69%,95930
2663,FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,Financial,Exchange Traded Fund,USA,-,-,101.19,-0.05%,4420
2664,FICO,Fair Isaac Corporation,Technology,Software - Application,USA,13.00B,37.71,467.23,-1.00%,143894
2665,FID,First Trust S&P International Dividend Aristocrats ETF,Financial,Exchange Traded Fund,USA,-,-,18.38,0.41%,3770
2666,FIDI,Fidelity International High Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,20.98,0.57%,14975
2667,FIDU,Fidelity MSCI Industrials Index ETF,Financial,Exchange Traded Fund,USA,-,-,55.23,-0.56%,36771
2668,FIF,First Trust Energy Infrastructure Fund,Financial,Closed-End Fund - Equity,USA,227.48M,-,13.33,-0.22%,36608
2669,FIGS,"FIGS, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,6.59B,4944.44,44.5,-1.90%,1171199
2670,FILL,iShares MSCI Global Energy Producers ETF,Financial,Exchange Traded Fund,USA,-,-,16.12,0.00%,6136
2671,FINM,Marlin Technology Corporation,Financial,Shell Companies,USA,498.90M,-,9.65,-0.72%,2012
2672,FINMU,Marlin Technology Corporation,Financial,Shell Companies,USA,-,-,9.88,-0.11%,11502
2673,FINV,FinVolution Group,Financial,Credit Services,China,1.71B,5.12,6.22,-0.32%,1300624
2674,FINX,Global X FinTech ETF,Financial,Exchange Traded Fund,USA,-,-,52.21,0.54%,157198
2675,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,77.30B,876.85,125.39,-1.16%,4765085
2676,FISI,"Financial Institutions, Inc.",Financial,Banks - Regional,USA,473.51M,7.58,31.07,0.03%,24780
2677,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,31.45,-0.21%,4567
2678,FISV,"Fiserv, Inc.",Technology,Information Technology Services,USA,76.25B,69.05,115.66,-0.15%,2424624
2679,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,26.15B,11.23,38.51,-0.47%,4121637
2680,FITE,SPDR S&P Kensho Future Security ETF,Financial,Exchange Traded Fund,USA,-,-,53.75,0.20%,1064
2681,FIV,First Trust Senior Floating Rate 2022 Target Term Fund,Financial,Asset Management,USA,-,-,9.56,0.05%,64522
2682,FIVA,Fidelity International Value Factor ETF,Financial,Exchange Traded Fund,USA,-,-,24.99,0.68%,14941
2683,FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,USA,11.33B,48.66,193.56,2.99%,1733069
2684,FIVG,Defiance 5G Next Gen Connectivity ETF,Financial,Exchange Traded Fund,USA,-,-,38.84,0.10%,85505
2685,FIVN,"Five9, Inc.",Technology,Software - Infrastructure,USA,11.49B,-,170.19,2.29%,2643171
2686,FIW,First Trust Water ETF,Financial,Exchange Traded Fund,USA,-,-,91.51,-0.44%,66248
2687,FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,USA,2.71B,18.37,76.46,0.10%,77752
2688,FIXD,First Trust TCW Opportunistic Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,54.04,-0.17%,364444
2689,FIXX,"Homology Medicines, Inc.",Healthcare,Biotechnology,USA,411.05M,-,7.46,-3.74%,418819
2690,FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,USA,4.26B,24.96,46.43,-1.19%,269441
2691,FJAN,FT Cboe Vest US Eq Buffer ETF - January,Financial,Exchange Traded Fund,USA,-,-,33.44,-0.11%,4650
2692,FJP,First Trust Japan AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,54.08,2.67%,936
2693,FJUN,FT Cboe Vest US Eq Buffer ETF - June,Financial,Exchange Traded Fund,USA,-,-,37.04,0.05%,5136
2694,FKU,First Trust United Kingdom AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,45.42,0.42%,19386
2695,FKWL,Franklin Wireless Corp.,Technology,Communication Equipment,USA,98.43M,4.46,8.5,8.56%,61262
2696,FL,"Foot Locker, Inc.",Consumer Cyclical,Footwear & Accessories,USA,5.98B,5.9,57.18,-0.85%,1181812
2697,FLAC,Frazier Lifesciences Acquisition Corporation,Financial,Shell Companies,USA,143.01M,-,10,1.32%,69077
2698,FLACU,Frazier Lifesciences Acquisition Corporation,Financial,Shell Companies,USA,-,-,10.14,0.90%,10572
2699,FLAU,Franklin FTSE Australia ETF,Financial,Exchange Traded Fund,USA,-,-,31.37,0.67%,702
2700,FLAX,Franklin FTSE Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,28.24,0.52%,4160
2701,FLBR,Franklin FTSE Brazil ETF,Financial,Exchange Traded Fund,USA,-,-,22.21,-0.21%,2215
2702,FLC,Flaherty & Crumrine Total Return Fund Inc.,Financial,Closed-End Fund - Debt,USA,240.02M,13.77,23.9,-0.08%,8831
2703,FLCA,Franklin FTSE Canada ETF,Financial,Exchange Traded Fund,USA,-,-,33.78,0.34%,3586
2704,FLCB,Franklin Liberty US Core Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.57,-0.21%,30820
2705,FLCH,Franklin FTSE China ETF,Financial,Exchange Traded Fund,USA,-,-,28.55,0.09%,7190
2706,FLCO,Franklin Liberty Investment Grade Corporate ETF,Financial,Exchange Traded Fund,USA,-,-,26.32,-0.30%,13742
2707,FLDM,Fluidigm Corporation,Healthcare,Diagnostics & Research,USA,542.27M,-,7.19,-0.42%,496412
2708,FLDR,Fidelity Low Duration Bond Factor ETF,Financial,Exchange Traded Fund,USA,-,-,50.92,0.00%,11486
2709,FLEE,Franklin FTSE Europe ETF,Financial,Exchange Traded Fund,USA,-,-,30.01,-0.40%,6294
2710,FLEX,Flex Ltd.,Technology,Electronic Components,Singapore,9.10B,12.64,19.19,0.84%,3379709
2711,FLGB,Franklin FTSE United Kingdom ETF,Financial,Exchange Traded Fund,USA,-,-,25.56,0.12%,9551
2712,FLGC,Flora Growth Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,402.48M,-,8.78,1.15%,952975
2713,FLGE,Credit Suisse FI Large Cap Growth Enhanced ETN,Financial,Exchange Traded Fund,USA,-,-,792.13,0.62%,74
2714,FLGR,Franklin FTSE Germany ETF,Financial,Exchange Traded Fund,USA,-,-,27.39,-0.17%,752
2715,FLGT,"Fulgent Genetics, Inc.",Healthcare,Diagnostics & Research,USA,2.85B,5.44,94,-0.13%,382351
2716,FLHK,Franklin FTSE Hong Kong ETF,Financial,Exchange Traded Fund,USA,-,-,27.68,-0.18%,574
2717,FLHY,Franklin Liberty High Yield Corporate ETF,Financial,Exchange Traded Fund,USA,-,-,26.62,0.02%,8740
2718,FLIA,Franklin Liberty International Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.28,-0.06%,40
2719,FLIC,The First of Long Island Corporation,Financial,Banks - Regional,USA,478.33M,11.2,20.6,-0.53%,42785
2720,FLIN,Franklin FTSE India ETF,Financial,Exchange Traded Fund,USA,-,-,33.22,1.02%,4642
2721,FLIY,Franklin FTSE Italy ETF,Financial,Exchange Traded Fund,USA,-,-,28.02,-0.37%,646
2722,FLJP,Franklin FTSE Japan ETF,Financial,Exchange Traded Fund,USA,-,-,31.54,2.91%,73292
2723,FLKR,Franklin FTSE South Korea ETF,Financial,Exchange Traded Fund,USA,-,-,31.19,1.25%,5642
2724,FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,273.81M,19.74,8.33,0.48%,213237
2725,FLLV,Franklin Liberty U.S. Low Volatility ETF,Financial,Exchange Traded Fund,USA,-,-,49.3,-0.05%,4395
2726,FLMB,Franklin Liberty Federal Tax-Free Bond ETF,Financial,Exchange Traded Fund,USA,-,-,27.31,-0.05%,14255
2727,FLME,Flame Acquisition Corp.,Financial,Shell Companies,USA,348.11M,-,9.68,0.05%,103
2728,FLMN,Falcon Minerals Corporation,Energy,Oil & Gas E&P,USA,368.59M,72.95,4.45,-0.45%,255706
2729,FLMX,Franklin FTSE Mexico ETF,Financial,Exchange Traded Fund,USA,-,-,25.05,-0.09%,360
2730,FLN,First Trust Latin America AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,19.34,-0.16%,1191
2731,FLNG,FLEX LNG Ltd.,Energy,Oil & Gas Midstream,Bermuda,815.12M,101.93,15.29,-0.65%,74830
2732,FLNT,"Fluent, Inc.",Communication Services,Advertising Agencies,USA,204.05M,-,2.72,-1.81%,144209
2733,FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,USA,5.04B,22.39,24.02,-0.95%,772271
2734,FLOT,iShares Floating Rate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,50.77,-0.03%,401612
2735,FLOW,"SPX FLOW, Inc.",Industrials,Specialty Industrial Machinery,USA,3.21B,49.92,78.57,0.34%,430092
2736,FLQH,Franklin LibertyQ International Equity Hedged ETF,Financial,Exchange Traded Fund,USA,-,-,29.03,0.57%,18
2737,FLQL,Franklin LibertyQ U.S. Equity ETF,Financial,Exchange Traded Fund,USA,-,-,45.19,0.00%,11179
2738,FLQM,Franklin LibertyQ U.S. Mid Cap Equity ETF,Financial,Exchange Traded Fund,USA,-,-,46.75,-0.09%,8133
2739,FLR,Fluor Corporation,Industrials,Engineering & Construction,USA,2.25B,-,16.47,-1.96%,1005483
2740,FLRN,SPDR Bloomberg Barclays Investment Grade Floating Rate ETF,Financial,Exchange Traded Fund,USA,-,-,30.65,0.03%,425057
2741,FLRU,Franklin FTSE Russia ETF,Financial,Exchange Traded Fund,USA,-,-,32.19,0.87%,1781
2742,FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,USA,4.84B,29.66,37.91,-1.89%,510065
2743,FLSW,Franklin FTSE Switzerland ETF,Financial,Exchange Traded Fund,USA,-,-,34.94,-0.34%,2619
2744,FLT,"FLEETCOR Technologies, Inc.",Technology,Information Technology Services,USA,21.22B,28.84,261.92,-0.24%,339478
2745,FLTB,Fidelity Limited Term Bond ETF,Financial,Exchange Traded Fund,USA,-,-,52.48,0.00%,9120
2746,FLTR,VanEck Vectors Investment Grade Floating Rate ETF,Financial,Exchange Traded Fund,USA,-,-,25.36,0.00%,126517
2747,FLUX,"Flux Power Holdings, Inc.",Industrials,Electrical Equipment & Parts,USA,108.47M,-,8.35,0.00%,19912
2748,FLV,American Century Focused Large Cap Value ETF,Financial,Exchange Traded Fund,USA,-,-,62.27,-0.22%,13501
2749,FLWS,"1-800-FLOWERS.COM, Inc.",Consumer Cyclical,Specialty Retail,USA,2.27B,19.21,33.13,1.66%,297915
2750,FLXN,"Flexion Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,300.52M,-,6.46,-2.56%,1450430
2751,FLXS,"Flexsteel Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,235.97M,11.28,35.01,-0.99%,10613
2752,FLYW,Flywire Corporation,Technology,Information Technology Services,USA,4.72B,-,47.54,-1.21%,385136
2753,FM,iShares MSCI Frontier and Select EM ETF,Financial,Exchange Traded Fund,USA,-,-,34.56,0.49%,26277
2754,FMAC,FirstMark Horizon Acquisition Corp.,Financial,Shell Companies,USA,927.34M,-,9.78,0.00%,35859
2755,FMAG,Fidelity Magellan ETF,Financial,Exchange Traded Fund,USA,-,-,24.15,0.36%,37476
2756,FMAO,"Farmers & Merchants Bancorp, Inc.",Financial,Banks - Regional,USA,264.99M,12.43,23.45,0.56%,5839
2757,FMAR,FT Cboe Vest US Eq Buffer ETF - March,Financial,Exchange Traded Fund,USA,-,-,32.37,0.02%,274
2758,FMAT,Fidelity MSCI Materials Index ETF,Financial,Exchange Traded Fund,USA,-,-,47.73,-0.56%,62312
2759,FMAY,FT Cboe Vest US Eq Buffer ETF - May,Financial,Exchange Traded Fund,USA,-,-,37.21,-0.06%,9924
2760,FMB,First Trust Managed Municipal ETF,Financial,Exchange Traded Fund,USA,-,-,57.28,-0.07%,149739
2761,FMBH,"First Mid Bancshares, Inc.",Financial,Banks - Regional,USA,707.58M,16.95,40.83,-0.54%,9501
2762,FMBI,"First Midwest Bancorp, Inc.",Financial,Banks - Regional,USA,2.08B,14.3,18.58,-0.21%,366443
2763,FMC,FMC Corporation,Basic Materials,Agricultural Inputs,USA,12.33B,21.42,95.28,-1.43%,935937
2764,FMF,First Trust Managed Futures Strategy Fund,Financial,Exchange Traded Fund,USA,-,-,47.68,-0.19%,1947
2765,FMHI,First Trust Municipal High Income ETF,Financial,Exchange Traded Fund,USA,-,-,56.47,-0.07%,34494
2766,FMIL,Fidelity New Millennium ETF,Financial,Exchange Traded Fund,USA,-,-,29.7,-0.33%,11203
